username,userid,profile_location,created_at,text,retweet_count,source,coordinates
👑,1609946831747747841,"Kansas City, MO",2023-01-16 19:18:27,@SirTweetinton @BrandonMMurphy @THESagerbomb Points way over your head. We were discussing this week. We both have… https://t.co/mC7hR8BGu6,0,Twitter for iPhone,
Kim AF Brat,279337502,"Kansas City, Missouri",2023-01-16 18:25:51,@RitchieTorres Drinking age varies from state to state and no one should be able to access guns until they are at least 21,0,Twitter for iPhone,
Pallais,16693514,"Kansas City, MO",2023-01-16 17:24:45,That moment when you realize that you had a device to destroy the Champion-level guns outside the bunker protecting… https://t.co/wSGUJrtN4T,1,Twitter Web App,
The Progressive Christian,825105618973425664,"Blue Springs, MO",2023-01-16 16:40:41,"@PresidentOfDCBP @DissidentRexy @OhmyGaltx2 I do support Red Flag Laws, because people with a history of violence a… https://t.co/YLVkIbGivv",0,Twitter for iPhone,
2024 Debate Questions (Andrew),1488978109915353089,"Kansas City, MO",2023-01-16 16:31:51,@JoJoFromJerz Guns were given second priority. Next to freedom of speech for a reason.,0,Twitter for iPhone,
Z Gunslinger78,388386553,"Kansas City, KS ",2023-01-16 15:26:20,Black Rain 5.56 w/Mag Changes 💥💥🛎️🛎️🔥🔥 #guns #blackrain #firearms #rifle... https://t.co/1LLSydskri via @YouTube… https://t.co/C7nhVfXCBA,3,Twitter for iPhone,
Delvin Sutton,845643304943439872,"Gladstone, MO",2023-01-16 15:14:28,"@Ojeda4America @jjclark3 Great role models for our kids on how to get yourself killed.  Smoke, lie, cheat, steal, s… https://t.co/aTSVw1Ktqd",0,Twitter Web App,
Joey Greene,1110305983207796738,Kansas City,2023-01-16 14:35:55,@NoLieWithBTC Guns on the house floor don’t forget mags are gone and so is the fine.,1,Twitter Web App,
Clarke Gable,98241219,"Kansas City, MO",2023-01-16 13:32:17,Don’t pull no kinda guns to show nobody nothing around me…tf y’all niggas be on?,0,Twitter for iPhone,
The Progressive Christian,825105618973425664,"Blue Springs, MO",2023-01-16 03:21:34,"@DissidentRexy @OhmyGaltx2 @PresidentOfDCBP Oh, that’s awesome, now let’s leave them down while they’re loaded so t… https://t.co/24mB9NRB6l",0,Twitter for iPad,
⚖ MC in KC 🇺🇦💙💛🌻🚜,749857962,"Independence, MO",2023-01-16 01:40:23,"@endthemaddness @shannonrwatts I understand that. He took all actions to be sure he was successful. 
https://t.co/xvxwoXU9AC",1,Twitter for Android,
⚖ MC in KC 🇺🇦💙💛🌻🚜,749857962,"Independence, MO",2023-01-16 01:35:41,"@Catbe1 @shannonrwatts I understand. If one looks at the whole statement and time line. 
-all adults trained 
-she… https://t.co/RSR5hVDxE0",0,Twitter for Android,
🇺🇸 Defend The Constitution,304767486,"Overland Park, KS",2023-01-16 00:56:36,@davramdavram Is there gonna be room to put all the confiscated stoves in the same place as the confiscated guns?,0,Twitter for iPhone,
